network,beta,mean_peak,var_peak
BA,0.001,0.002467,4.987548743718593e-06
BA,0.0015,0.0092555,9.117162788944723e-05
BA,0.0022,0.051075999999999996,0.0007539265567839196
BA,0.0033,0.167543,0.001284543568844221
BA,0.005,0.28068750000000003,4.4402405778894494e-05
BA,0.0075,0.38128300000000004,5.6683830150753775e-05
BA,0.011,0.4803975,4.4932606783919615e-05
BA,0.016,0.572973,5.158871457286437e-05
BA,0.023,0.6533605,3.2979185678391964e-05
BA,0.033,0.722953,2.839305628140702e-05
ER,0.001,0.0011925,8.160175879396984e-08
ER,0.0015,0.001592,3.075738693467337e-07
ER,0.0022,0.0033095000000000004,2.9015675879396985e-06
ER,0.0033,0.016019000000000002,5.6549687437185935e-05
ER,0.005,0.148912,0.0017449807597989951
ER,0.0075,0.3844275,4.228059673366835e-05
ER,0.011,0.489674,4.348082814070348e-05
ER,0.016,0.586971,3.916689346733672e-05
ER,0.023,0.6689185000000001,2.780895251256279e-05
ER,0.033,0.7385435,2.4277746482412066e-05
